,ID_REF,VALUE
366,201497_x_at,7.0094
367,201501_s_at,9.6179
368,201502_s_at,9.0847
369,201504_s_at,7.7816
370,201505_at,7.5779
371,201506_at,5.1759
372,201508_at,6.1031
373,201510_at,4.321
374,201512_s_at,7.3664
375,201514_s_at,7.3496
376,201516_at,8.6756
377,201517_at,9.0246
378,201525_at,10.3035
379,201529_s_at,8.2987
380,201531_at,7.4282
381,201536_at,10.7565
382,201537_s_at,7.7548
383,201538_s_at,6.909
384,201543_s_at,6.7834
385,201545_s_at,8.4087
386,201547_at,4.6578
387,201548_s_at,6.8968
388,201551_s_at,8.2421
389,201559_s_at,7.0634
390,201560_at,9.3615
391,201563_at,7.5891
392,201566_x_at,9.5613
393,201571_s_at,7.7061
394,201578_at,8.5061
395,201579_at,8.3743
396,201585_s_at,9.3219
397,201589_at,7.152
398,201590_x_at,8.1248
399,201595_s_at,9.9276
400,201596_x_at,4.4775
401,201601_x_at,9.779
402,201602_s_at,8.9377
403,201603_at,9.116
404,201604_s_at,8.9105
405,201605_x_at,7.7069
406,201608_s_at,8.4695
407,201609_x_at,8.0417
408,201612_at,9.5014
409,201613_s_at,6.9124
410,201615_x_at,6.2563
411,201616_s_at,6.8883
412,201617_x_at,6.6546
413,201620_at,8.9782
414,201624_at,7.5531
415,201625_s_at,7.1405
416,201627_s_at,8.7158
417,201629_s_at,7.0522
418,201631_s_at,5.9906
419,201636_at,8.5346
420,201638_s_at,5.8606
421,201639_s_at,8.2033
422,201641_at,7.8537
423,201643_x_at,9.0724
424,201645_at,4.1793
425,201646_at,8.9815
426,201647_s_at,7.6423
427,201656_at,7.8307
428,201657_at,7.7259
429,201663_s_at,5.1808
430,201666_at,7.3913
431,201667_at,11.66
432,201668_x_at,7.5821
433,201671_x_at,9.8407
434,201674_s_at,9.8161
435,201679_at,4.9197
436,201681_s_at,8.0387
437,201686_x_at,7.4927
438,201687_s_at,9.5892
439,201693_s_at,7.7961
440,201694_s_at,9.3818
441,201702_s_at,6.0488
442,201703_s_at,7.2428
443,201710_at,5.4811
444,201711_x_at,8.6069
445,201714_at,9.3089
446,201718_s_at,8.0878
447,201719_s_at,9.2595
448,201720_s_at,5.7276
449,201721_s_at,8.2745
450,201724_s_at,7.3613
451,201726_at,7.4805
452,201729_s_at,8.5227
453,201730_s_at,9.2387
454,201732_s_at,8.2803
455,201733_at,8.1319
456,201734_at,10.0727
457,201736_s_at,8.8393
458,201737_s_at,10.3914
459,201739_at,9.1261
460,201741_x_at,4.861
461,201742_x_at,8.4441
462,201743_at,5.5372
463,201744_s_at,4.5696
464,201746_at,5.4916
465,201747_s_at,8.1272
466,201748_s_at,10.0258
467,201749_at,5.4123
468,201752_s_at,10.8294
469,201753_s_at,11.4187
470,201755_at,4.8472
471,201756_at,8.6125
472,201761_at,6.9012
